zolai,english,pos,cefr,translations,synonyms,antonyms,related,example_zo,example_en,usage_notes,sources,book_count,first_book
(mice-zusate),mouse,,C2,mouse,,,,,,,Dongdot,,
(migi),kind humble gentle,,C2,kind humble gentle,,,,,,,Tongdot-DLH,,
(mul-meet),to shear wool,,C2,to shear wool,,,,,,,Tongdot-DLH,,
(munmin)adawk,mull,,C2,mull,,,,,,,Tongdot-TKD,,
(munphiah),broom,,C2,broom,,,,,,,Tongdot-DLH,,
"(natna
haksatna
gimna)thuaksakhi",afflict,,C2,afflict,,,,,,,Tongdot-TKD,,
(nauhaih),to have symtoms of pregnancy to conceive to be pregnant,,C2,to have symtoms of pregnancy to conceive to be pregnant,,,,,,,Tongdot-DLH,,
(neektheihmeet),to peel the skin with a knife,,C2,to peel the skin with a knife,,,,,,,Tongdot-DLH,,
(ngaidam),forgive,,C2,forgive,,,,,,,Dongdot,,
(ngaih),to listen to to hearken to pay attention to obey,,C2,to listen to to hearken to pay attention to obey,,,,,,,Tongdot-DLH,,
(ngapi),cod,,C2,cod,,,,,,,Tongdot-DLH,,
(ngawngtan),to behead,,C2,to behead,,,,,,,Tongdot-DLH,,
(pauciang)min,noun,,C2,noun,,,,,,,Tongdot-TKD,,
(priestly),p (priestly),,C2,p (priestly),,,,,,,Dongdot,,
(quelle),q (quelle),,C2,q (quelle),,,,,,,Dongdot,,
(saguh),to gnaw,,C2,to gnaw,,,,,,,Tongdot-DLH,,
"(sakhi
saza
sazuk
bilpi)pa",buck,,C2,buck,,,,,,,Tongdot-TKD,,
(sakol)khawl!,wo whoa,,C2,wo whoa,,,,,,,Tongdot-TKD,,
"(sakol,humpi)ngawngmul",mane,,C2,mane,,,,,,,Tongdot-TKD,,
"(sakol,ui)meitom",bobtail,,C2,bobtail,,,,,,,Tongdot-TKD,,
(sam)agum,matted,,C2,matted,,,,,,,Tongdot-TKD,,
(sazukkii),antler,,C2,antler,,,,,,,Tongdot-DLH,,
(singaat),saw,,C2,saw,,,,,,,Dongdot,,
(singgui),root,,C2,root,,,,,,,Tongdot-DLH,,
(singka),furcate,,C2,furcate,,,,,,,Dongdot,,
(singkung)vulhi,flag,,C2,flag,,,,,,,Tongdot-TKD,,
(singtungah),to perch,,C2,to perch,,,,,,,Tongdot-DLH,,
(sinima),movie,,C2,movie,,,,,,,Dongdot,,
(suangthem),splinter,,C2,splinter,,,,,,,Tongdot-DLH,,
(taih),shoes,,C2,shoes,,,,,,,Tongdot-DLH,,
(tembaw),to disembark,,C2,to disembark,,,,,,,Tongdot-DLH,,
(thagui),vein artery,,C2,vein artery,,,,,,,Tongdot-DLH,,
(thukhaam,constitute,v,C2,constitute,,,,,,,zomidictionary.app,,
(thukhunte)palsatna,infraction,,C2,infraction,,,,,,,Tongdot-TKD,,
(tumging)damtaktak,lento,,C2,lento,,,,,,,Tongdot-TKD,,
(vasa),to build nest (by birds),,C2,to build nest (by birds),,,,,,,Tongdot-DLH,,
(vok),Lard,,C2,Lard,,,,,,,Tongdot-DLH,,
(zaanasilh),blanket,,C2,blanket,,,,,,,Tongdot-DLH,,
(zamani)makai,Fuhrer,,C2,Fuhrer,,,,,,,Tongdot-TKD,,
(ziipi),pantechnicon,,C2,pantechnicon,,,,,,,Dongdot,,
(zinan),kerosene,n,C2,kerosene,,,,"“Ka vengte' zi zawlmitin, a kong gei-ah ngakin ka buk taak leh","If mine heart have been deceived by a woman, or if I have laid wait at my neighbour's door;",Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
(zukham),to be drunk to be intoxicated(with wine),,C2,to be drunk to be intoxicated(with wine),,,,,,,Tongdot-DLH,,
(zuun),to urinate,,C2,to urinate,,,,,,,Tongdot-DLH,,
(“),ditto mark,,C2,ditto mark,,,,,,,Tongdot-DLH,,
1,quintillion,n,C2,quintillion,,,,Amaute in a zite a mak ding uh kiciam uh,,Noun — use as subject or object; nominalize with +na for abstract form.,"Dongdot, zomidictionary.app",,
"1,000,000
awnkhat",million,,C2,million,,,,,,,Tongdot-TKD,,
100,hectogram,,C2,hectogram,,,,,,,Dongdot,,
"100
zakhat",hecto-,,C2,hecto-,,,,,,,Tongdot-TKD,,
2,hectare,,C2,hectare | tad | second-hand,,,,,,,Dongdot,,
a,it,pro. n,C2,it,,,,Ahi zongin amah in amau' kiang panin pa neilote honkhia,,Use 'a' for 'it'.,"Tongdot-DLH, zomidictionary.app, Dr. Dal Lian Haokip",,
"a
an",an,article,C2,an,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
a'n't,"a'n't, kei hi lo",pronoun,C2,a'n't | kei hi lo,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
a'te,inheritance,n,C2,inheritance | tribe | jubilee | children | israel,,,,Israel mite' Jubilee hong tun' ciangin amau-a'te pen,,Attested 135× across 2 Bible books.,,,
"a,b,c","a,b,c",noun,C2,"a,b,c | A,B,C | Laimal pilna sinna bulpi",,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
a-1,(adj) a ka theen koek.,,C2,(adj) a ka theen koek.,,,,,,,"TongDot, tongdot",,
a-al,nitrate,n,C2,nitrate,,,,Mihing sawmthumte sung pan amah a minthang pen hi,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
a-ba-zhoor,a-ba-zhoor,noun,C2,inn khum dawn lama khuavaak luut nadinga kibawl tawlet neu Van pana khuavaak | a-ba-zhoor,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
a-bomb,"atom bom, A-bomb",noun,C2,atom bom | A-bomb | a-bomb,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
a-nimosity,a-nimosity,n,C2,"a-nimosity | n. muhdahna, huatna, deihloh mahmahna, kigaal neihna. | muhdahna huatna deihloh mahmahna kigaal neihna | muhdahna, huatna, deihloh mahmahna, kigaal neihna",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
a-ol,plaia,a,C2,plaia,,,,Ol takin hauhpakna oltak mahin kiamkik pah,,Adjective — place before noun or after verb as predicate.,zomidictionary.app,,
a-ommi,occupant,n,C2,,,,,,,,,,
a-pied,"khe tawh, tawh",khe,C2,khe tawh | tawh | khe tawh. | a-pied,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
a-uk,superintendent,v,C2,,,,,,,,,,
a-ukna,governing,a,C2,governing,,,,Pasian' Ukna sungah mihau khat,,Adjective — place before noun or after verb as predicate.,zomidictionary.app,,
a.d,(abbr) (Anno Domin after the birth of Jesus Christ).,,C2,(abbr) (Anno Domin after the birth of Jesus Christ).,,,,,,,"TongDot, tongdot",,
a.d.,"(n.) Anno Domino; Kan Bawipa kum chungah, Bawi Jesuh chuah hnu",,C2,"(n.) Anno Domino; Kan Bawipa kum chungah, Bawi Jesuh chuah hnu",,,,,,,tongdot,,
a.m.,(n.) chun hlan,,C2,(n.) chun hlan,,,,,,,tongdot,,
a/a,"n. Mangpau-a kammal masa pen. Greeklai kici kammal pana kila.Greekte'n Phoenicia mite lai a na kawm sawn uh. Na khat pepeuh- ah a hoih pen nam. A to B.... thu khat pan khatah, mun khat pan khatah A to Z.... a kipatna pan a tawpna dong.",,C2,"n. Mangpau-a kammal masa pen. Greeklai kici kammal pana kila.Greekte'n Phoenicia mite lai a na kawm sawn uh. Na khat pepeuh- ah a hoih pen nam. A to B.... thu khat pan khatah, mun khat pan khatah A to Z.... a kipatna pan a tawpna dong.",,,,,,,Zomi Dictionary,,
a1,"khat, khat ciat, khat peuh",adj,C2,"khat, khat ciat, khat peuh | adj. khat, khat ciat, khat peuh.",,,,,,,"Zomi Dictionary, ZomiDict, Dongdot",,
a2,Laimung (consonant) mai-a kizangh,adj,C2,Laimung (consonant) mai-a kizangh | adj. Laimung (consonant) mai-a kizangh.,,,,,,,"Zomi Dictionary, ZomiDict, Dongdot",,
a;aa,"(a-)(1.8) or (a:) (1.9) Coord.Conj.as in "" Ka pai uh a,la kasa uh hi"" We go along and sing songs",,C2,"(a-)(1.8) or (a:) (1.9) Coord.Conj.as in "" Ka pai uh a,la kasa uh hi"" We go along and sing songs",,,,,,,Tongdot-VZT,,
aa,of,prep,C2,of,,,,Ahih hangin migilote tungah Pasian in thu gen,,Particle/preposition — follows noun to mark grammatical role.,"TongDot, Tongdot-DLH, Dongdot",,
aa-atnensa,sausage,n,C2,sausage,,,,"Nail guntuite keu ding a, guntui kangcipin keu ding hi.","And the waters shall fail from the sea, and the river shall be wasted and dried up.",Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
aadingin,for,prep,C2,for,,,,Amau aadingin leitungthak kipan hi.,,,zomidictionary.app,,
"aadingin
dingin
nadingin",for ,,C2,for ,,,,,,,Tongdot-DLH,,
aai,before,,A1,before | cast | lots | describe | land,,,,in Tom' naa-aai a dawi hi.,,,,1,JOS
aak,cock,n,C1,cock | saith | peter | answered | crew,,,,nial kik hi. Tua ciangin thakhatin aak,,,"Tongdot-DLH, Tongdot-VZT",3,MRK
"aak-khuang
khuang",crow,,C2,crow,,,,,,,Tongdot-DLH,,
aakbu,cage for fowls,,C2,cage for fowls,,,,,,,Tongdot-VZT,,
aakbuk,"shed built for fowls hencoop, hencoop",,C2,shed built for fowls hencoop | hencoop,,,,,,,Tongdot-VZT,,
aakbuuk,chicken barn or roost,,C2,chicken barn or roost,,,,,,,Tongdot-DLH,,
aakgal,lit.enemy of fowls hence a kind of jungle cat,,C2,lit.enemy of fowls hence a kind of jungle cat,,,,,,,Tongdot-VZT,,
aakgia,"plume,esp tail of feather of cocks",,C2,"plume,esp tail of feather of cocks",,,,,,,Tongdot-VZT,,
aakgil,chicken roost barn hen- house coop,n,C2,"part of house where cages,(long or round)are place for fowls to spend night rooster | chicken roost barn hen- house coop",,,,,,,"Tongdot-DLH, Tongdot-VZT",,
aakguh,"lit.chicken bone,hence chicken bone,decorated for use as hair pin by men",,C2,"lit.chicken bone,hence chicken bone,decorated for use as hair pin by men",,,,,,,Tongdot-VZT,,
aakkeng,"lit.leg of fowl, hence the cross mark (X)",,C2,"lit.leg of fowl, hence the cross mark (X)",,,,,,,Tongdot-VZT,,
aakkha,shuttle-cock,n,C2,racket,,,,,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, Dongdot, zomidictionary.app",,
aakkhuang,(cock)crows,,C2,(cock)crows,,,,,,,Tongdot-VZT,,
aaklui,cock rooster,,C2,cock rooster,,,,Innsimah aaklui khuangthei khatciat aneih nangun hanciam uh hi.,,,Tongdot-VZT,,
aakluui/aaktal,(male fowl) rooster,,C2,(male fowl) rooster,,,,,,,Tongdot-DLH,,
aakmuk,seeds verminate to the stage where the sprouts resemble fowls'beak,,C2,seeds verminate to the stage where the sprouts resemble fowls'beak,,,,,,,Tongdot-VZT,,
aakmul,top-knot,n,C2,plume,,,"aakmul tawh kibang, aakmul banga om singteh",Ahih hangin migilote tungah Pasian in thu gen,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-VZT, zomidictionary.app",,
aakno,biddy,n,C2,biddy,,,,"Khuapi kongpi tau-in thum ding hi. Khuapi, gamkhing suak ding",,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, Tongdot-VZT, Dongdot",,
"aakno
vasono
nungaakno",chick,,C2,chick,,,,,,,Tongdot-DLH,,
aaknu,femal fowl,,C2,femal fowl,,,,,,,Tongdot-VZT,,
aakpa,wild fowl,,C2,wild fowl,,,,,,,Tongdot-DLH,,
aakpi,hen,n,C2,hen,,,,Aakpi khuan hang khuavaklo--------- Baakvaat bang.,,,"Tongdot-DLH, Tongdot-VZT, Dongdot",,
aaksa,chicken,,C2,chicken,,,,Amau aaksa aneek uh leh e’n zongh ih ne ve le!,,,Tongdot-DLH,,
aaksi,star,n,C2,star,,,,taanglitlet pawl khat te ii lu tungah Aaksi taang omka mu hi.,,,Tongdot-DLH,,
aaksiak,cock's spur,,C2,cock's spur,,,,,,,Tongdot-VZT,,
aaksuang,crest,n,C2,crest,,,,,,,"Tongdot-VZT, zomidictionary.app",,
aaktangkhai,the crop,,C2,the crop,,,,,,,Tongdot-VZT,,
aaktui,egg,n,C2,egg,,,,*Aaktui suam leh sila suam.,,,"Tongdot-VZT, Dongdot, zomidictionary.app",,
aakvun,epidermis,n,C2,cuticle,,,aakvun kolhna,,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, Dongdot, zomidictionary.app",,
aalu,murphy,n,C2,murphy,,,,Huai aalu te huan in.,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-TKD, Tongdot-DLH, Dongdot",,
aalukan,Frenchfries,,C2,Frenchfries,,,,,,,Tongdot-TKD,,
aaluu,spud,n,C2,,,,,,,,,,
aam,thyself,n,A1,thyself | god | cannot | neither | more,,,"hang, cih, mai, kun, lina",ama min Aam a hipa pen a aam Pasian ahi hi.),,Attested 530× across 12 Bible books.,Tongdot-DLH,6,EXO
aana,over,n,A1,over | sent | causeth | therein | serve,"vangliatna, dongtangsak, uttawmna",,"ukna, nei, pia, kumpi, leitung",vangliatna a neite khempeuh tungah Khrih in ukna aana nei lai a,,Attested 7865× across 62 Bible books.,,23,DEU
aang,bosom,n,C2,bosom,,,"aangsung khuala naseem mi, aangkawi, aang tawh kisai",a nawi na teep numei,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, zomidictionary.app",,
aangkawi,enclasp,v,C2,enclasp,,,"aang, aangsung khuala naseem mi, aang tawh kisai",,,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,"Tongdot-DLH, Dongdot, zomidictionary.app",,
aangkawmna,adultery,,C2,adultery,,,,,,,Tongdot-DLH,,
aangkhih,button,n,C2,button,,,,,,,"Tongdot-DLH, Dongdot, zomidictionary.app",,
aangkilh,button,,C2,button,,,,,,,Dongdot,,
aangsuan,badge,n,C2,badge,,,,,,,zomidictionary.app,,
aangtang,to be proud of to boast of,,C2,to be proud of to boast of,,,,Mi’ tate kiangah kisial-in aangtang nuam lua ta’ng Zovontawi aw!,,,Tongdot-DLH,,
aap,commit,v,C2,commit,,,,{ Topa } muang in la,,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,"Tongdot-DLH, zomidictionary.app",,
aapkhia,bestow,v,C2,,,,,,,,,,
aapkik,retrocede,,C2,retrocede,,,,,,,Dongdot,,
aapna,consecration,n,C2,consecration,,,,Birth Certificate Naumin aapna nei-in.,,,"Dongdot, zomidictionary.app",,
aardvark,(n.) မြေတွင်းတူးပြီးပုရွက်ဆိတ်စားသည့်နှုတ်သီးရှည်အာဖရိကဝက်တစ်မျိုး။,n,C2,(n.) မြေတွင်းတူးပြီးပုရွက်ဆိတ်စားသည့်နှုတ်သီးရှည်အာဖရိကဝက်တစ်မျိုး။,,,,Aardvark-te lei sau uh hi!,,,"Tongdot-DLH, Dr. Dal Lian Haokip, TongDot",,
aardwolf,aardwolf,n,C2,"n. (Afrikan)- leingia. Africa gam khanglama om zaana gamta sasial ne hyena a kici a mailam saang piana a sawi pai heihei ganhing nam khat a kibang, leikha leh gannungneu tuite tawh a kivaak ganhing. | aardwolf | (Afrikan)- leingia | (Afrikan)- leingia. Africa gam khanglama om zaana gamta sasial ne hyena a kici a mailam saang piana a sawi pai heihei ganhing nam khat a kibang, leikha leh gannungneu tuite tawh a kivaak ganhing.",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
aaron,aaron,n,A1,aaron | sons | aaron's | speak | moses,,,"moses, israel, tapate, biakna, mai","Topa in Moses leh Aaron’ tungah,",And the,Attested 18264× across 27 Bible books.,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",16,EXO
aaronic,"Aaronic, Aaron bang",adj,C2,Aaronic | Aaron bang | adj. Aaron bang | aaronic,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
aaronte,aaron,,B1,aaron | among | moses | priests | samuel,,,,Moses leh Aaronte in ama siampi hi uh,,,,1,PSA
aat,scissor,v,B1,thorns | cast | fire | hearth | sown,,,,Jehudi in khawk thum khawk li bang,,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,"Tongdot-DLH, Dongdot, zomidictionary.app",,JER
aate,inheritance,,A1,inheritance | tribe | jubilee | children | israel,,,,Chindwin aate leh Mongam aate kibanglo hi.,,,,1,NUM
aatkham,divide,,C2,divide,,,,,,,Dongdot,,
aatkhapna,orchidotomy,,C2,orchidotomy,,,,,,,Dongdot,,
aatkhia,ablate,vt,C2,ablate,,,,Mihing sawmthumte sung pan amah a minthang pen hi,,Transitive verb — requires object + ergative 'in' on subject.,"Dongdot, zomidictionary.app",,
"aatkhia
aattan",excise,,C2,excise,,,,,,,Tongdot-DLH,,
aatkhiatna,appendectomy,n,C2,nephrectomy,,,,,,,Dongdot,,
aatna,"rhinoplasty, paper cutter",,C2,rhinoplasty | paper cutter | surgery,,,,Aatna neu khat lel ahi.,,,Dongdot,,
aatneen,hash,vt,C2,cut,,,"aatna tawh nawi laakkhiatna, aatna tawh pumpi sunga nate kheek, aatna ma neu taka aat mi thatten a thahte gawl tem tawh a aat pen slit kici",,,Transitive verb — requires object + ergative 'in' on subject.,"Tongdot-DLH, Dongdot, zomidictionary.app",,
aatsia,to mangle,,C2,to mangle,,,,,,,Tongdot-DLH,,
aattan,excide,v,C2,chop,,,"aattanna, aattomtu, aattu","tumtan: sil khatpeuh tum-nih suah, sutan, aattan, kuantan, saattan",,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,"Tongdot-DLH, Dongdot, zomidictionary.app",,
"aattan
aatkhia",excide ,,C2,excide ,,,,,,,Tongdot-DLH,,
aattanna,abscise,v,C2,abscise,,,"aattomtu, aattan, aattu",Tua ciangin Samuel in Saul leh a nasempa samin inndei sungah paipih,,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,zomidictionary.app,,
aattomtu,clipper,n,C2,clipper,,,"aattanna, aattan, aattu","miliante, sila bangin a khe-un pai uh hi.",,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
aattu,reaper,n,C2,reaper,,,"aattanna, aattomtu, aattan",,,Noun — use as subject or object; nominalize with +na for abstract form.,"Dongdot, zomidictionary.app",,
aa,her,pr. n,C2,her,,,,Tuhun dongin amaute in Moses Thukham laibu,,Use 'aa' for 'her'.,zomidictionary.app,,
ab,"kici sisan nam lii lakah khat, n. ABO kici sisan nam lii lakah khat.",n,C2,"kici sisan nam lii lakah khat | n. ABO kici sisan nam lii lakah khat. | Judahte khasimna-a a sawm leh khatna (or) a ngana (July leh August sung) | n. Judahte khasimna-a a sawm leh khatna (or) a ngana (July leh August sung) | (kitom) .. Advisory Board, Artium Baccalaureus Bachelor of Arts (US).",,,,ٱXҁo: rݪMMfGڀZdu:_ΤL2pHG Jk:Zk_V²ɠ21mp0CM7ab xT::o )cY:N(bw;RLvALL0Z3.,,,"Zomi Dictionary, ZomiDict, Dongdot",,
ab'e,ab’e,,C2,ab’e,,,,,,,Dongdot,,
aba,"(kitom)... Amateur Boxing Association, American Bar Association. American Booksellers Association.",,C2,"(kitom)... Amateur Boxing Association, American Bar Association. American Booksellers Association.",,,,tein 30 val pen aba lai nahi uh hi.,,,"Zomi Dictionary, ZomiDict",,
abaang,blotting,a,C2,,,,,Ama’ Min thupi a khual mahmah i Pasian in,,,,,
abactor,"bawng gupa/nu, n. bawng gupa/nu",n,C2,bawng gupa/nu | n. bawng gupa/nu | abactor,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abacus,"(n) tuatna kikhilkhawm a langlang a kikaithei na tang; gatang kaih, (ganan tuatna ding a kikhilkhawm nate)",noun,C2,"(n) tuatna kikhilkhawm a langlang a kikaithei na tang; gatang kaih, (ganan tuatna ding a kikhilkhawm nate)",,,,Abacus kici pen bang hiam?,,,"TongDot, Tongdot-TKD, Dongdot",,
abacus(ab’2k2s),abacus,noun,C2,abacus | Tuat nading leh nambat kihilh nadinga kikai kikhin kawikawi thei dinga kikhil khitang tawh kibang na: Gatang kaih,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abaddon,pit,n,C2,pit | name | tongue | king | over,,,,tua vantung mi a min pen Hebru pau-in Abaddon hi,,Attested 125× across 2 Bible books.,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",1,REV
"abadomen
belly
stomach",gilpi,,C2,gilpi,,,,,,,Tongdot-DLH,,
abaft,"(adv.): ah, lawngih a mei lam ah.",preposition,C2,"(adv.): ah, lawngih a mei lam ah.",,,,,,,"TongDot, Tongdot-TKD, Dongdot",,
abagtha,bring,n,C2,bring | vashti | queen | before | king,,,,"A ni sagih ni, zunekna hangin",,Attested 110× across 2 Bible books.,,,
abaihna,facility,n,C2,facility,,,abaih in,Tua thamloin tuate' hangin a thanempa in thuphawkna ngah,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
abal,initial,a,C2,,,,,Abul abal kanzek ngai hi).,,,,,
abampere,"abampere, ampere 10 a tehna khat",n,C2,abampere | ampere 10 a tehna khat | n. ampere 10 a tehna khat,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
aban,adjacent,a,B1,counting | one | preacher | find | out,,,"abanban in kilaihsak, abanglai",Sing hoihpen tawh a kibawl luai-in Kumpi Solomon hong kizawng hi.,"King Solomon made himself a chariot of the wood of Lebanon. a chariot: or, a bed",Adjective — place before noun or after verb as predicate.,"Tongdot-VZT, zomidictionary.app",,ECC
abana,rivers,n,A2,rivers | abana | pharpar | damascus | better,,,,ci hi. Tua ahih ciangin amah kihei-in paikhia hi.,,Attested 100× across 2 Bible books.,,1,2KI
abanban,consecutive,a,C2,,,,,Abanban in ensuk ding hi hang.,,,,,
abanbanin,(adv.) in order.,,C2,(adv.) in order.,,,,Amaute in ahihleh khantohnate abanbanin nasik to ciatciat uh hi.,,,"TongDot, tongdot",,
abandon,"(v) taimangsan, khawlsan, zangnawnlo",vt|transitive verb|noun|transitive & intransitive verb,C2,"(v) taimangsan, khawlsan, zangnawnlo",,,,"Here, I dont mean to abandon Copes work but I",,,"Tongdot-DLH, Tongdot-MCPG, Dr. Dal Lian Haokip",,
abandoned,(adj.) ရိုင်းစိုင်း၍ထိန်းချုပ်မှုကင်းမဲ့သော၊ စာရိတ္တဖောက်ပြန်သော။,adjective|noun,C2,(adj.) ရိုင်းစိုင်း၍ထိန်းချုပ်မှုကင်းမဲ့သော၊ စာရိတ္တဖောက်ပြန်သော။,,,,Yanni naungek lai-in kinese (abandoned) hi.,,,"Dongdot, TongDot, Dr. Dal Lian Haokip",,
abang,what,"a, pro",C2,,,,,A thugen anuai abang hi.,,,,,
abanglai,resedue,n,C2,resedue,,,"aban, abanban in kilaihsak","Zopau abaih kei hi, Lai-ah i sut ding haksatna tampi om hi.",The Zo dialect is not easy; writing its depths contains many challenges.,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
abarim,abarim,n,A1,abarim | departed | moab | bashan | pitched,,,"mual, piak, israel, sat, giahphual",Nebo tun' ma Abarim mualte-ah giahphual sat uh hi.,,Attested 355× across 6 Bible books.,,3,NUM
abas,"interj. kiam suk hen, deihlohna lahsakna., abas",interjection,C2,"interj. kiam suk hen, deihlohna lahsakna. | abas | kiam suk hen deihlohna lahsakna.",,,,"Atu-in Achates, Abas, Aletes leh Ilioneus' tembaw-te kisia-in tui lutzak hi.",,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abase,"(v) kiniamkhiat, kineusak, kithupikawihlo",verb,C2,"(v) kiniamkhiat, kineusak, kithupikawihlo",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
abased,"(pas. part.) akiniamkhiat, akineusak, akiphasaklo",,C2,"(pas. part.) akiniamkhiat, akineusak, akiphasaklo",,,,,,,"TongDot, tongdot",,
abash,"(v) zahhuai, maizum, zakta, kisuanglah, zum, mi zakta",vt,C2,"(v) zahhuai, maizum, zakta, kisuanglah, zum, mi zakta",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
abashed,"(adj) ningzak mi, hmaisong mi",adjective,C2,"(adj) ningzak mi, hmaisong mi",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, TongDot",,
abashedly,"abashed, zum theilo zakta theilo",adverb,C2,abashed | zum theilo zakta theilo,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abask,"abask, adv. Lum hiuhiau, zata nuam bek dinga lum.",adv,C2,"abask | adv. Lum hiuhiau, zata nuam bek dinga lum. | hiuhiau, zata nuam bek dinga lum | Lum hiuhiau zata nuam bek dinga lum",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abat,become,,B1,become | one | another | into | stick,,,,Tua ciangin tua ciangkhut tegel ciangkhut khat abat theih nadingin,,,,1,EZK
